FROM,TO
AAL,GRO
AAL,STN
AAR,AGP
AAR,CFU
AAR,FAO
AAR,GDN
AAR,PMI
AAR,RIX
AAR,STN
AAR,ZAD
ABZ,AGP
ABZ,ALC
ABZ,FAO
ACE,AGP
ACE,ALC
ACE,BCN
ACE,BER
ACE,BFS
ACE,BGY
ACE,BHX
ACE,BLQ
ACE,BOH
ACE,BRE
ACE,BRS
ACE,BTS
ACE,BUD
ACE,CGN
ACE,CRL
ACE,DUB
ACE,EDI
ACE,EMA
ACE,FMM
ACE,LBA
ACE,LPL
ACE,LTN
ACE,MAD
ACE,MAN
ACE,MRS
ACE,MXP
ACE,NCL
ACE,NOC
ACE,NRN
ACE,NUE
ACE,ORK
ACE,PIK
ACE,RAK
ACE,SCQ
ACE,SNN
ACE,STN
ACE,SVQ
ACE,TRN
ACE,TSF
ACE,VIE
ACE,VLC
ACE,ZAG
AGA,BGY
AGA,BHX
AGA,BOD
AGA,BOH
AGA,BVA
AGA,CGN
AGA,CRL
AGA,DUB
AGA,EDI
AGA,FEZ
AGA,FKB
AGA,HHN
AGA,KRK
AGA,LIS
AGA,MAD
AGA,MAN
AGA,MRS
AGA,NRN
AGA,NTE
AGA,OPO
AGA,OUD
AGA,PGF
AGA,STN
AGA,SXB
AGA,TFS
AGA,TLS
AGA,TNG
AGA,VIE
AGA,VLC
AGA,WRO
AGP,AAR
AGP,ABZ
AGP,ACE
AGP,AMS
AGP,ARN
AGP,BCN
AGP,BER
AGP,BFS
AGP,BGY
AGP,BHX
AGP,BLL
AGP,BLQ
AGP,BOD
AGP,BOH
AGP,BRE
AGP,BRI
AGP,BRS
AGP,BRU
AGP,BUD
AGP,BVA
AGP,CGN
AGP,CPH
AGP,CRL
AGP,CWL
AGP,DTM
AGP,DUB
AGP,EDI
AGP,EIN
AGP,EMA
AGP,EXT
AGP,FCO
AGP,FEZ
AGP,FKB
AGP,FMM
AGP,GDN
AGP,GLA
AGP,GOT
AGP,HAM
AGP,HHN
AGP,IBZ
AGP,KRK
AGP,KUN
AGP,LBA
AGP,LCJ
AGP,LIS
AGP,LPA
AGP,LPL
AGP,LTN
AGP,MAH
AGP,MAN
AGP,MRS
AGP,MXP
AGP,NAP
AGP,NCL
AGP,NDR
AGP,NOC
AGP,NQY
AGP,NRN
AGP,NUE
AGP,OPO
AGP,ORK
AGP,OSR
AGP,OTP
AGP,PAD
AGP,PIK
AGP,PMI
AGP,POZ
AGP,PRG
AGP,PSA
AGP,RAK
AGP,RBA
AGP,RIX
AGP,SCQ
AGP,SDR
AGP,SNN
AGP,SOF
AGP,STN
AGP,TFS
AGP,TNG
AGP,TRF
AGP,TRN
AGP,TSF
AGP,TTU
AGP,VIE
AGP,VIT
AGP,VLC
AGP,VST
AGP,WMI
AGP,WRO
AGP,ZAG
AHO,BCN
AHO,BGY
AHO,BLL
AHO,BLQ
AHO,BOD
AHO,BRI
AHO,BTS
AHO,BUD
AHO,CRL
AHO,CTA
AHO,DUB
AHO,FMM
AHO,HHN
AHO,KTW
AHO,MAD
AHO,MXP
AHO,NAP
AHO,ORK
AHO,PMO
AHO,PSA
AHO,PSR
AHO,STN
AHO,VCE
ALC,ABZ
ALC,ACE
ALC,ARN
ALC,BCN
ALC,BER
ALC,BFS
ALC,BGY
ALC,BHX
ALC,BLL
ALC,BLQ
ALC,BOD
ALC,BOH
ALC,BRE
ALC,BRI
ALC,BRS
ALC,BUD
ALC,BVA
ALC,CGN
ALC,CPH
ALC,CRL
ALC,CWL
ALC,DUB
ALC,EDI
ALC,EIN
ALC,EMA
ALC,EXT
ALC,FCO
ALC,FEZ
ALC,FKB
ALC,FMM
ALC,FMO
ALC,GDN
ALC,GLA
ALC,GOT
ALC,HAM
ALC,HEL
ALC,HHN
ALC,IBZ
ALC,KIR
ALC,KLU
ALC,KRK
ALC,KTW
ALC,KUN
ALC,LBA
ALC,LCJ
ALC,LGW
ALC,LIS
ALC,LPL
ALC,LTN
ALC,MAH
ALC,MAN
ALC,MME
ALC,MRS
ALC,MST
ALC,MXP
ALC,NCL
ALC,NOC
ALC,NQY
ALC,NRN
ALC,NUE
ALC,NWI
ALC,OPO
ALC,ORK
ALC,PAD
ALC,PED
ALC,PIK
ALC,PMI
ALC,POZ
ALC,RAK
ALC,RZE
ALC,SCQ
ALC,SDR
ALC,SNN
ALC,SOF
ALC,STN
ALC,SVQ
ALC,TFN
ALC,TLS
ALC,TRF
ALC,TRN
ALC,TSF
ALC,TTU
ALC,VIE
ALC,VIT
ALC,VST
ALC,VXO
ALC,WAW
ALC,WMI
ALC,WRO
ALC,ZAG
AMM,BGY
AMM,BLQ
AMM,BUD
AMM,BVA
AMM,CIA
AMM,CRL
AMM,FMM
AMM,KRK
AMM,MAD
AMM,MRS
AMM,OTP
AMM,PFO
AMM,POZ
AMM,PRG
AMM,PSA
AMM,TSF
AMM,VIE
AMM,WMI
AMS,AGP
AMS,DUB
AOI,CRL
AOI,CTA
AOI,KRK
AOI,NRN
AOI,STN
AQJ,CGN
AQJ,CRL
AQJ,SOF
ARN,AGP
ARN,ALC
ARN,BCN
